Panel A: First-Year College GPA,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,,,,,,(0.063)
310120                                  ,,,,,,-0.356***
                                        ,,,,,,(0.085)
310130                                  ,,,,,,-0.313*
                                        ,,,,,,(0.124)
310140                                  ,,,,,,-0.098
                                        ,,,,,,(0.120)
310145                                  ,,,,,,-0.530**
                                        ,,,,,,(0.168)
310148                                  ,,,,,,-0.292*
                                        ,,,,,,(0.124)
310153                                  ,,,,,,-0.153
                                        ,,,,,,(0.107)
310158                                  ,,,,,,-0.309***
                                        ,,,,,,(0.071)
310185                                  ,,,,,,-0.321***
                                        ,,,,,,(0.087)
310220                                  ,,,,,,-0.651***
                                        ,,,,,,(0.087)
310222                                  ,,,,,,0.059
                                        ,,,,,,(0.097)
310223                                  ,,,,,,0.240***
                                        ,,,,,,(0.038)
310224                                  ,,,,,,0.081
                                        ,,,,,,(0.079)
310227                                  ,,,,,,0.008
                                        ,,,,,,(0.053)
310228                                  ,,,,,,-0.298***
                                        ,,,,,,(0.072)
310240                                  ,,,,,,-0.513***
                                        ,,,,,,(0.116)
310245                                  ,,,,,,-0.241***
                                        ,,,,,,(0.067)
310249                                  ,,,,,,-0.310**
                                        ,,,,,,(0.102)
310250                                  ,,,,,,0.071
                                        ,,,,,,(0.094)
310251                                  ,,,,,,-0.021
                                        ,,,,,,(0.057)
310252                                  ,,,,,,-0.440***
                                        ,,,,,,(0.066)
310253                                  ,,,,,,0.136*
                                        ,,,,,,(0.053)
310260                                  ,,,,,,0.204**
                                        ,,,,,,(0.063)
310263                                  ,,,,,,-0.066
                                        ,,,,,,(0.090)
310264                                  ,,,,,,-0.117
                                        ,,,,,,(0.082)
310265                                  ,,,,,,0.135*
                                        ,,,,,,(0.065)
310267                                  ,,,,,,-0.068
                                        ,,,,,,(0.098)
310270                                  ,,,,,,-0.258**
                                        ,,,,,,(0.092)
310272                                  ,,,,,,0.059
                                        ,,,,,,(0.054)
310275                                  ,,,,,,-0.018
                                        ,,,,,,(0.078)
310280                                  ,,,,,,-0.400***
                                        ,,,,,,(0.107)
310281                                  ,,,,,,-0.164***
                                        ,,,,,,(0.049)
310283                                  ,,,,,,-0.029
                                        ,,,,,,(0.029)
310284                                  ,,,,,,-0.705***
                                        ,,,,,,(0.177)
310292                                  ,,,,,,-0.104
                                        ,,,,,,(0.092)
310296                                  ,,,,,,-0.490***
                                        ,,,,,,(0.083)
310297                                  ,,,,,,0.047
                                        ,,,,,,(0.034)
310298                                  ,,,,,,-0.264***
                                        ,,,,,,(0.070)
310299                                  ,,,,,,-0.044
                                        ,,,,,,(0.104)
310305                                  ,,,,,,-0.332***
                                        ,,,,,,(0.056)
310306                                  ,,,,,,-0.132
                                        ,,,,,,(0.106)
310309                                  ,,,,,,0.136*
                                        ,,,,,,(0.059)
310313                                  ,,,,,,-0.012
                                        ,,,,,,(0.105)
310337                                  ,,,,,,-0.453**
                                        ,,,,,,(0.158)
310350                                  ,,,,,,-0.293*
                                        ,,,,,,(0.140)
310367                                  ,,,,,,-0.011
                                        ,,,,,,(0.041)
310370                                  ,,,,,,-0.108
                                        ,,,,,,(0.056)
310375                                  ,,,,,,-0.083
                                        ,,,,,,(0.054)
310378                                  ,,,,,,-0.155**
                                        ,,,,,,(0.050)
310380                                  ,,,,,,0.127**
                                        ,,,,,,(0.040)
310395                                  ,,,,,,-0.247***
                                        ,,,,,,(0.050)
310402                                  ,,,,,,0.054
                                        ,,,,,,(0.081)
310405                                  ,,,,,,-0.014
                                        ,,,,,,(0.053)
310407                                  ,,,,,,-0.090
                                        ,,,,,,(0.053)
310412                                  ,,,,,,-0.234**
                                        ,,,,,,(0.091)
310417                                  ,,,,,,-0.084
                                        ,,,,,,(0.056)
310433                                  ,,,,,,-0.025
                                        ,,,,,,(0.102)
310438                                  ,,,,,,-0.007
                                        ,,,,,,(0.094)
310450                                  ,,,,,,0.019
                                        ,,,,,,(0.046)
310457                                  ,,,,,,-0.639***
                                        ,,,,,,(0.169)
310460                                  ,,,,,,-0.061
                                        ,,,,,,(0.074)
310465                                  ,,,,,,-0.034
                                        ,,,,,,(0.112)
310470                                  ,,,,,,-0.092
                                        ,,,,,,(0.130)
310473                                  ,,,,,,-0.239*
                                        ,,,,,,(0.094)
310501                                  ,,,,,,-0.015
                                        ,,,,,,(0.066)
310510                                  ,,,,,,-0.190
                                        ,,,,,,(0.104)
310518                                  ,,,,,,-0.237*
                                        ,,,,,,(0.093)
310525                                  ,,,,,,-0.115*
                                        ,,,,,,(0.055)
310530                                  ,,,,,,-0.107*
                                        ,,,,,,(0.049)
310540                                  ,,,,,,0.071
                                        ,,,,,,(0.069)
310566                                  ,,,,,,0.117*
                                        ,,,,,,(0.051)
310568                                  ,,,,,,-0.126
                                        ,,,,,,(0.125)
310581                                  ,,,,,,0.047
                                        ,,,,,,(0.044)
310583                                  ,,,,,,-0.262***
                                        ,,,,,,(0.068)
310584                                  ,,,,,,0.035
                                        ,,,,,,(0.032)
310587                                  ,,,,,,-0.081
                                        ,,,,,,(0.109)
310594                                  ,,,,,,-0.589***
                                        ,,,,,,(0.167)
310602                                  ,,,,,,-0.326*
                                        ,,,,,,(0.137)
310603                                  ,,,,,,-0.155*
                                        ,,,,,,(0.070)
310606                                  ,,,,,,-0.668***
                                        ,,,,,,(0.120)
310612                                  ,,,,,,-0.231***
                                        ,,,,,,(0.049)
310645                                  ,,,,,,-0.010
                                        ,,,,,,(0.076)
310650                                  ,,,,,,-0.066
