Panel C: First-to-Second Year Retention,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,,,,,,(0.643)
310120                                  ,,,,,,-0.556
                                        ,,,,,,(0.635)
310130                                  ,,,,,,-1.925**
                                        ,,,,,,(0.734)
310140                                  ,,,,,,-1.378*
                                        ,,,,,,(0.667)
310145                                  ,,,,,,-1.844**
                                        ,,,,,,(0.593)
310148                                  ,,,,,,-1.833**
                                        ,,,,,,(0.688)
310153                                  ,,,,,,-2.078**
                                        ,,,,,,(0.648)
310158                                  ,,,,,,-0.987
                                        ,,,,,,(0.631)
310185                                  ,,,,,,-1.935**
                                        ,,,,,,(0.649)
310220                                  ,,,,,,-1.029*
                                        ,,,,,,(0.494)
310222                                  ,,,,,,-0.364
                                        ,,,,,,(1.095)
310223                                  ,,,,,,-0.323
                                        ,,,,,,(0.454)
310224                                  ,,,,,,0.274
                                        ,,,,,,(1.030)
310227                                  ,,,,,,-0.350
                                        ,,,,,,(0.764)
310228                                  ,,,,,,0.000
                                        ,,,,,,(.)
310240                                  ,,,,,,-1.299*
                                        ,,,,,,(0.573)
310245                                  ,,,,,,-1.735***
                                        ,,,,,,(0.409)
310249                                  ,,,,,,-0.588
                                        ,,,,,,(1.107)
310250                                  ,,,,,,-1.355
                                        ,,,,,,(0.780)
310251                                  ,,,,,,-0.563
                                        ,,,,,,(0.483)
310252                                  ,,,,,,-1.537***
                                        ,,,,,,(0.404)
310253                                  ,,,,,,-0.696
                                        ,,,,,,(0.563)
310260                                  ,,,,,,-1.215*
                                        ,,,,,,(0.591)
310263                                  ,,,,,,-1.589**
                                        ,,,,,,(0.533)
310264                                  ,,,,,,-1.406*
                                        ,,,,,,(0.692)
310265                                  ,,,,,,-0.971*
                                        ,,,,,,(0.494)
310267                                  ,,,,,,-1.092
                                        ,,,,,,(1.042)
310270                                  ,,,,,,-1.894***
                                        ,,,,,,(0.559)
310272                                  ,,,,,,-0.422
                                        ,,,,,,(0.637)
310275                                  ,,,,,,-1.161
                                        ,,,,,,(0.654)
310280                                  ,,,,,,-1.147
                                        ,,,,,,(0.740)
310281                                  ,,,,,,-0.776
                                        ,,,,,,(0.634)
310283                                  ,,,,,,-0.523
                                        ,,,,,,(0.294)
310284                                  ,,,,,,-2.134***
                                        ,,,,,,(0.510)
310292                                  ,,,,,,0.000
                                        ,,,,,,(.)
310296                                  ,,,,,,-1.176
                                        ,,,,,,(0.629)
310297                                  ,,,,,,-0.349
                                        ,,,,,,(0.344)
310298                                  ,,,,,,-1.450***
                                        ,,,,,,(0.429)
310299                                  ,,,,,,-1.385*
                                        ,,,,,,(0.688)
310305                                  ,,,,,,-1.277***
                                        ,,,,,,(0.355)
310306                                  ,,,,,,-2.220***
                                        ,,,,,,(0.605)
310309                                  ,,,,,,-0.708
                                        ,,,,,,(0.775)
310313                                  ,,,,,,0.000
                                        ,,,,,,(.)
310337                                  ,,,,,,-1.625**
                                        ,,,,,,(0.551)
310350                                  ,,,,,,-1.003
                                        ,,,,,,(0.798)
310367                                  ,,,,,,-0.202
                                        ,,,,,,(0.452)
310370                                  ,,,,,,-0.338
                                        ,,,,,,(0.518)
310375                                  ,,,,,,-1.207*
                                        ,,,,,,(0.487)
310378                                  ,,,,,,-0.567
                                        ,,,,,,(0.569)
310380                                  ,,,,,,-0.478
                                        ,,,,,,(0.418)
310395                                  ,,,,,,-1.248***
                                        ,,,,,,(0.363)
310402                                  ,,,,,,0.647
                                        ,,,,,,(1.051)
310405                                  ,,,,,,-0.042
                                        ,,,,,,(0.635)
310407                                  ,,,,,,-1.071*
                                        ,,,,,,(0.438)
310412                                  ,,,,,,-1.489*
                                        ,,,,,,(0.754)
310417                                  ,,,,,,-1.208**
                                        ,,,,,,(0.425)
310433                                  ,,,,,,-1.845**
                                        ,,,,,,(0.588)
310438                                  ,,,,,,-1.344*
                                        ,,,,,,(0.652)
310450                                  ,,,,,,-0.665
                                        ,,,,,,(0.573)
310457                                  ,,,,,,-2.184***
                                        ,,,,,,(0.512)
310460                                  ,,,,,,-0.273
                                        ,,,,,,(0.766)
310465                                  ,,,,,,-0.499
                                        ,,,,,,(0.947)
310470                                  ,,,,,,-2.295***
                                        ,,,,,,(0.552)
310473                                  ,,,,,,-1.979***
                                        ,,,,,,(0.576)
310501                                  ,,,,,,-0.195
                                        ,,,,,,(0.759)
310510                                  ,,,,,,-2.263***
                                        ,,,,,,(0.453)
310518                                  ,,,,,,-1.327*
                                        ,,,,,,(0.629)
310525                                  ,,,,,,-0.936
                                        ,,,,,,(0.481)
310530                                  ,,,,,,-0.430
                                        ,,,,,,(0.475)
310540                                  ,,,,,,-0.096
                                        ,,,,,,(0.773)
310566                                  ,,,,,,-0.782
                                        ,,,,,,(0.526)
310568                                  ,,,,,,-0.209
                                        ,,,,,,(1.061)
310581                                  ,,,,,,-0.348
                                        ,,,,,,(0.427)
310583                                  ,,,,,,-0.297
                                        ,,,,,,(0.760)
310584                                  ,,,,,,-0.466
                                        ,,,,,,(0.343)
310587                                  ,,,,,,-1.958***
                                        ,,,,,,(0.553)
310594                                  ,,,,,,-3.792***
                                        ,,,,,,(0.468)
310602                                  ,,,,,,0.000
                                        ,,,,,,(.)
310603                                  ,,,,,,-1.429**
                                        ,,,,,,(0.445)
310606                                  ,,,,,,-2.260***
                                        ,,,,,,(0.507)
310612                                  ,,,,,,-1.601***
                                        ,,,,,,(0.331)
310645                                  ,,,,,,-0.145
                                        ,,,,,,(0.650)
310650                                  ,,,,,,-0.394
                                        ,,,,,,(0.753)
310655                                  ,,,,,,-0.877
                                        ,,,,,,(0.651)
310667                                  ,,,,,,-0.079
                                        ,,,,,,(1.030)
310677                                  ,,,,,,-0.704
                                        ,,,,,,(1.048)
310678                                  ,,,,,,-1.717**
                                        ,,,,,,(0.634)
310690                                  ,,,,,,-1.158*
                                        ,,,,,,(0.504)
310693                                  ,,,,,,-0.719
                                        ,,,,,,(0.801)
310694                                  ,,,,,,-1.012
                                        ,,,,,,(0.753)
310695                                  ,,,,,,-1.460**
                                        ,,,,,,(0.525)
310698                                  ,,,,,,-1.622**
                                        ,,,,,,(0.505)
310700                                  ,,,,,,-1.180
                                        ,,,,,,(0.820)
310704                                  ,,,,,,0.000
                                        ,,,,,,(.)
310705                                  ,,,,,,-0.403
                                        ,,,,,,(0.416)
310710                                  ,,,,,,-0.476
